id,post_type,title,tokens,flags
864,page,Home,[],"dynamic:[ajax_load_more] — page needs a CPT-archive template rebuild (P7)"
891,page,"Panel 1: The Great Middle East",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
922,page,"International Conference • November 24-25, 2012",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
958,page,"Panel 2: Space Cooperation and Other Common Aims of Mankind",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1072,page,"Panel 3: The Alternative To World War and Chaos",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1078,page,"Panel 4: There Is Life After the Euro! What Kind of a Europe Do We Want?",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1103,page,"About Us","{""three_fourth_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1238,page,"Classical Concert",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1256,page,Accueil,[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1351,page,"Panel Discussion",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1492,page,"Klassisches Konzert",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1498,page,"Thema 1: Großraum Nahost",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1503,page,"Thema 2: Raumfahrt und die gemeinsamen Ziele der Menschheit",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1505,page,"Thema 3: Die Alternative zu Weltkrieg und Chaos",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1507,page,"Thema 4: Es gibt ein Leben nach dem Euro! Was für ein Europa wollen wir?",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1515,page,Podiumsdiskussion,[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1733,page,"Concert classique",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1736,page,"Panel I : Le grand Moyen-Orient",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1739,page,"Panel II : L’exploration spatiale et les buts communs de l’humanité",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1743,page,"Panel III : L’alternative à la guerre et au chaos",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1745,page,"Panel IV : Il y a une vie après l’euro !",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1747,page,"Table ronde",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1801,page,Главная,[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7); dynamic:[ajax_load_more] — page needs a CPT-archive template rebuild (P7)"
1850,page,"СЕКЦИОННОЕ ОСУЖДЕНИЕ: РЕНЕССАНС",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1851,page,"КОНЦЕРТ КЛАССИЧЕСКОЙ МУЗЫКИ",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1852,page,"ЗАСЕДАНИЕ 4 — ЕСТЬ ЖИЗНЬ ПОСЛЕ ЕВРО!",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1853,page,"ЗАСЕДАНИЕ 3 — АЛЬТЕРНАТИВА МИРОВОЙ ВОЙНЕ",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1854,page,"ЗАСЕДАНИЕ 2 — СОТРУДНИЧЕСТВО В КОСМОСЕ",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
1856,page,"ЗАСЕДАНИЕ 1 — БОЛЬШОЙ БЛИЖНИЙ ВОСТОК",[],"dynamic:[portfolio] — page needs a CPT-archive template rebuild (P7)"
